time,gFx,gFy,gFz,TgF
373.367111993,-0.0147,0.1531,0.9775,0.985
374.367684493,-0.0269,0.1340,0.9604,0.966
375.36892918,-0.0298,0.1658,1.1496,1.158
376.368244232,-0.0005,0.1457,0.9736,0.980
377.368574752,0.0298,0.1266,0.9775,0.981
378.370025377,0.0020,0.1129,1.0543,1.056
379.36927147,0.0322,0.1085,0.9936,0.995
380.370445115,0.0171,0.1178,0.9746,0.977
381.370809073,0.0083,0.1261,0.9780,0.981
382.37028199,0.0342,0.1124,1.0000,1.002
383.371365271,0.0342,0.0836,1.0337,1.033
384.374062979,0.0215,0.0939,1.1510,1.150
385.375358916,0.0088,0.0606,0.9912,0.989
386.375104176,0.0557,0.0470,0.9433,0.941
387.375545998,0.1188,0.0773,1.1457,1.148
388.376154592,0.1134,0.0831,0.9936,0.997
389.379661102,0.0870,0.1100,1.0963,1.099
390.379336414,0.0905,0.0905,1.0352,1.037
391.380920736,0.1066,0.0939,1.0269,1.030
392.380472767,0.0836,0.1041,1.0103,1.013
393.388212819,0.0132,0.0851,0.8836,0.883
394.385660214,0.0327,0.1120,0.9453,0.947
395.396960683,0.0342,0.0812,0.9609,0.960
396.391185422,0.0264,0.0880,0.9580,0.958
397.37923339,-0.0283,0.0949,0.9980,0.999
398.379701775,0.0117,0.0313,0.9477,0.944
399.37981391,-0.0191,0.0435,1.0493,1.047
400.380223441,0.0215,0.0782,1.0000,0.999
401.381589326,0.0112,0.0538,1.0988,1.096
402.381768909,0.0518,-0.1090,1.0000,1.003
403.381216825,0.0068,-0.1672,0.9208,0.933
404.381452033,0.0107,-0.2566,1.0313,1.061
405.382895575,-0.0137,-0.1921,1.1124,1.127
406.382524012,0.0049,-0.1305,0.9609,0.967
407.383429689,0.0997,-0.1545,0.9897,1.002
408.382659844,0.0660,-0.1383,1.0068,1.015
409.383291511,0.1139,-0.1061,0.8797,0.888
410.383953646,-0.0249,-0.1750,1.2929,1.303
411.383673593,0.1369,0.0211,0.8968,0.901
412.38476703,0.1217,0.0821,0.9135,0.918
413.38553854,0.0655,0.0778,1.1506,1.150
414.385537863,0.0752,0.1408,0.8010,0.810
415.387104633,-0.1364,0.0127,0.8871,0.897
